TAIL_NUM,MFR,MODEL,YEAR MFR
N378DN,AIRBUS,A321-211,2019
N47505,BOEING,737-9,2018
N5007E,AIRBUS,A319-115,2013
N209SY,EMBRAER S A,ERJ 170-200 LR,2017
N801UA,AIRBUS INDUSTRIE,A319-131,1997
N76515,BOEING,737-824,2008
N341DN,AIRBUS,A321-211,2018
N153PQ,BOMBARDIER INC,CL-600-2D24,2007
N581UW,AIRBUS INDUSTRIE,A321-231,2014
N27205,BOEING,737-824,2000
N189UW,AIRBUS INDUSTRIE,A321-211,2001
N8762Q,BOEING,737-8,2022
N344PP,BOEING,737-800,2017
N954NK,AIRBUS,A320-271N,2022
N389DN,AIRBUS,A321-211,2020
N391FR,AIRBUS,A320-251N,2022
N8760L,BOEING,737-8,2022
289NV,AIRBUS,A320-214,2011
N978UY,AIRBUS,A321-231,2012
N76508,BOEING,737-824,2008
N929NN,BOEING,737-823,2013
N442UA,AIRBUS INDUSTRIE,A320-232,1998
N976AK,BOEING,737-9,2022
N87512,BOEING,737-824,2008
N927NN,BOEING,737-823,2013
208NV,AIRBUS,A320-214,2013
N333DX,AIRBUS SAS,A321-213,2017
N192JB,EMBRAER,ERJ 190-100 IGW,2005
N73259,BOEING,737-824,2001
N601AW,AIRBUS,A320-232,2003
N342DN,AIRBUS,A321-211,2018
N118DY,AIRBUS,A321-211,2021
N443UA,AIRBUS INDUSTRIE,A320-232,1998
N583UW,AIRBUS INDUSTRIE,A321-231,2014
N998NN,BOEING,737-800,2016
N974UY,AIRBUS,A321-231,2011
N351NW,AIRBUS INDUSTRIE,A320-212,1997
N804UA,AIRBUS INDUSTRIE,A319-131,1997
N392DN,AIRBUS,A321-211,2019
N987AN,BOEING,737-823,2009
N26226,BOEING,737-824,1998
N8325D,BOEING,737-8H4,2012
N417YX,EMBRAER,ERJ 170-200 LR,2013
N66893,BOEING,737-924ER,2016
N323US,AIRBUS INDUSTRIE,A320-211,1991
N492AS,BOEING,737-990ER,2015
N767UW,AIRBUS INDUSTRIE,A319-112,2000
N482PX,BOMBARDIER INC,CL-600-2D24,2020
N537UW,AIRBUS,A321-231,2009
N916US,AIRBUS,A321-231,2015
N155UW,AIRBUS,A321-211,2013
N163US,AIRBUS INDUSTRIE,A321-211,2001
N972UY,AIRBUS,A321-231,2009
N970AN,BOEING,737-823,2001
N38403,BOEING,737-924,2001
N902NN,BOEING,737-823,2012
N483UA,AIRBUS INDUSTRIE,A320-232,2001
N562UW,AIRBUS,A321-231,2012
N126DN,AIRBUS,A321-211,2021
N842NN,BOEING,737-823,2010
N921XJ,BOMBARDIER INC,CL-600-2D24,2008
N889NN,BOEING,737-823,2012
N303DN,AIRBUS SAS,A321-213,2016
N740EV,BOMBARDIER INC,CL-600-2C10,2004
N958NN,BOEING,737-823,2014
N879NN,BOEING,737-823,2011
N553UW,AIRBUS,A321-231,2011
N361DN,AIRBUS SAS,A321-213,2018
N330DX,AIRBUS SAS,A321-213,2017
N37290,BOEING,737-824,2004
N122NN,AIRBUS,A321-231,2014
N179UW,AIRBUS INDUSTRIE,A321-211,2001
N969NN,BOEING,737-823,2015
N14704,BOEING,737-724,1998
N133EV,BOMBARDIER INC,CL-600-2D24,2009
N338FR,AIRBUS,A320-251N,2018
N340DN,AIRBUS SAS,A321-213,2018
N571NN,BOMBARDIER INC,CL-600-2D24,2015
N104HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007
N567UW,AIRBUS,A321-231,2013
N974AK,BOEING,737-9,2022
N33714,BOEING,737-724,1998
N38424,BOEING,737-924ER,2008
N69839,BOEING,737-924ER,2014
N17529,BOEING,737-9,
N870DC,BOMBARDIER INC,CL-600-2C10,2010
N125UW,AIRBUS,A320-214,2009
N54241,BOEING,737-824,1999
N8759Q,BOEING,737-8,2022
N8756S,BOEING,737-8,2022
N932XJ,BOMBARDIER INC,CL-600-2D24,2008
N963AT,BOEING,717-200,2001
N17265,BOEING,737-8,2021
N647AW,AIRBUS INDUSTRIE,A320-232,1997
N599NN,BOMBARDIER INC,CL-600-2D24,2016
N934NN,BOEING,737-823,2013
N741EV,BOMBARDIER INC,CL-600-2C10,2004
N174US,AIRBUS INDUSTRIE,A321-211,
N298PQ,BOMBARDIER INC,CL-600-2D24,2013
N325NB,AIRBUS INDUSTRIE,A319-114,2001
N77537,BOEING,737-800,2016
290NV,AIRBUS,A320-214,2004
N8329B,BOEING,737-8H4,2012
N593NN,BOMBARDIER INC,CL-600-2D24,2016
240NV,AIRBUS,A320-214,2000
N117UW,AIRBUS INDUSTRIE,A320-214,2000
N914NN,BOEING,737-823,2013
N817AW,AIRBUS INDUSTRIE,A319-132,2000
N154UW,AIRBUS,A321-211,2013
N935NN,BOEING,737-823,2013
N178US,AIRBUS INDUSTRIE,A321-211,2001
N961AN,BOEING,737-823,2001
N127DN,AIRBUS,A321-211,2021
N586AS,BOEING,737-890,2007
N312DN,AIRBUS SAS,A321-213,2016
N748SK,BOMBARDIER INC,CL-600-2C10,2005
N545UW,AIRBUS,A321-231,2011
N832NN,BOEING,737-823,2010
N552AS,BOEING,737-890,2006
N386DN,AIRBUS SAS,A321-211,2019
N336RU,BOEING,737-8,2018
N195UW,AIRBUS,A321-211,2008
N954NN,BOEING,737-823,2014
N109DN,AIRBUS,A321-211,2021
N623UX,EMBRAER S A,ERJ 170-200 LL,2019
N471UA,AIRBUS INDUSTRIE,A320-232,2001
N454UA,AIRBUS INDUSTRIE,A320-232,1999
N984NN,BOEING,737-823,2016
N924NN,BOEING,737-823,2013
N535UW,AIRBUS,A321-231,2009
N336PQ,BOMBARDIER INC,CL-600-2D24,2014
N312FR,AIRBUS,A320-251N,2017
N388DN,AIRBUS SAS,A321-211,2019
N558AS,BOEING,737-890,2006
N24224,BOEING,737-824,1998
N768SK,BOMBARDIER INC,CL-600-2C11,2005
N880UA,AIRBUS,A319-132,2005
N875UA,AIRBUS,A319-132,2004
N125DN,AIRBUS,A321-211,2021
N967NN,BOEING,737-823,2015
N350DN,AIRBUS,A321-211,2018
N868NN,BOEING,737-823,2011
N195PQ,BOMBARDIER INC,CL-600-2D24,2008
N373DX,AIRBUS,A321-211,2019
N331DN,AIRBUS SAS,A321-213,2017
N169UW,AIRBUS INDUSTRIE,A321-211,2001
248NV,AIRBUS,A320-214,2017
N176PQ,BOMBARDIER INC,CL-600-2D24,2008
N830UA,AIRBUS INDUSTRIE,A319-131,2000
N197PQ,BOMBARDIER INC,CL-600-2D24,2008
N821AW,AIRBUS INDUSTRIE,A319-132,2000
N980UY,AIRBUS,A321-231,2013
N8758L,BOEING,737-8,2022
N457UA,AIRBUS INDUSTRIE,A320-232,1999
N556UW,AIRBUS,A321-231,2012
N524UW,AIRBUS,A321-231,2009
N305DN,AIRBUS SAS,A321-213,2016
N916NN,BOEING,737-823,2013
N983AN,BOEING,737-823,2009
N124DX,AIRBUS,A321-211,2021
N39423,BOEING,737-924ER,2008
N152UW,AIRBUS,A321-211,2013
N75410,BOEING,737-924,2001
N832UA,AIRBUS INDUSTRIE,A319-131,2000
N827AW,AIRBUS INDUSTRIE,A319-132,2001
N327DN,AIRBUS SAS,A321-213,2017
N551UW,AIRBUS,A321-231,2011
N12221,BOEING,737-824,1998
N903NN,BOEING,737-823,2012
N986NN,BOEING,737-823,2016
N324DX,AIRBUS SAS,A321-213,2017
N3737C,BOEING,737-832,2000
N202JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N487AS,BOEING,737-990ER,2015
330NV,AIRBUS,A319-111,2006
N951AA,BOEING,737-823,2000
N222NS,EMBRAER,ERJ 170-200 LR,2015
N230NN,EMBRAER S A,ERJ 170-200 LR,2016
N24202,BOEING,737-824,2000
N408AS,BOEING,737-990ER,2012
N332DN,AIRBUS SAS,A321-213,2017
N960AN,BOEING,737-823,2001
N210JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N8767M,BOEING,737-8,2022
N148SY,EMBRAER S A,ERJ 170-200 LR,2015
N656CA,BOMBARDIER INC,CL-600-2C11,2004
N317DN,AIRBUS SAS,A321-213,2017
N355PU,BOEING,737-800,2017
N930AN,BOEING,737-823,2000
N483AS,BOEING,737-990ER,2015
N214JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N3735D,BOEING,737-832,2000
N118NN,AIRBUS INDUSTRIE,A321-231,2014
N529AS,BOEING,737-890,2010
N258JB,EMBRAER,ERJ 190-100 IGW,2006
N273NN,EMBRAER S A,ERJ 170-200 LR,2019
N508AS,BOEING,737-890,2008
N161AA,AIRBUS,A321-231,2016
N14219,BOEING,737-824,1998
N495AS,BOEING,737-990ER,2016
N910XJ,BOMBARDIER INC,CL-600-2D24,2007
N3742C,BOEING,737-832,2001
N110DX,AIRBUS,A321-211,2021
N288AK,BOEING,737-900ER,2018
N190JB,EMBRAER,ERJ 190-100 IGW,2005
N229NN,EMBRAER S A,ERJ 170-200 LR,2016
N374DX,AIRBUS,A321-211,2019
N761RW,EMBRAER,ERJ 170-100 STD,
N133AN,AIRBUS,A321-231,2015
N47517,BOEING,737-9,2020
N897NN,BOEING,737-823,2012
N409AS,BOEING,737-990ER,2013
N200PQ,BOMBARDIER INC,CL-600-2D24,2008
N611NN,BOMBARDIER INC,CL-600-2D24,2019
N698CB,EMBRAER,EMB-145LR,2004
N234JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N77520,BOEING,737-824,2010
N283JB,EMBRAER,ERJ 190-100 IGW,2007
N837NN,BOEING,737-823,2010
N350NA,AIRBUS INDUSTRIE,A320-212,1993
N33289,BOEING,737-824,2004
N3753,BOEING,737-832,2001
N975AK,BOEING,737-9,2021
N224JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N8765Q,BOEING,737-8,2022
N228NN,EMBRAER S A,ERJ 170-200 LR,2016
N143AN,AIRBUS,A321-231,2015
N334NW,AIRBUS INDUSTRIE,A320-212,1992
N242JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N193JB,EMBRAER,ERJ 190-100 IGW,2005
N425UA,AIRBUS INDUSTRIE,A320-232,1995
N932AK,BOEING,737-9,2021
N478UA,AIRBUS INDUSTRIE,A320-232,2001
N157AA,AIRBUS,A321-231,2016
N854NN,BOEING,737-823,2010
N393DN,AIRBUS SAS,A321-211,2019
N474AS,BOEING,737-990ER,2015
N259NN,EMBRAER S A,ERJ 170-200 LR,2017
N338DN,AIRBUS SAS,A321-213,2018
N214AK,BOEING,737-900ER,2019
N1802U,BOEING,737-8,2022
N37700,BOEING,737-832,2002
N167AN,AIRBUS,A321-231,2016
N215NN,EMBRAER S A,ERJ 170-200 LR,2015
N8768Q,BOEING,737-8,2022
N35407,BOEING,737-924,2001
N536NK,AIRBUS INDUSTRIE,A319-132,2010
N8766T,BOEING,737-8,2022
N407AS,BOEING,737-990ER,2012
N979RP,EMBRAER,ERJ 170-100 SE,2005
N366FR,AIRBUS,A320-251N,2020
N957NK,AIRBUS,A320-271N,2022
N982NN,BOEING,737-823,2015
N120DN,AIRBUS,A321-211,2021
N448AS,BOEING,737-990ER,2016
N816UA,AIRBUS INDUSTRIE,A319-131,1998
N965NN,BOEING,737-823,2015
N311DU,AIRBUS CANADA LP,BD-500-1A11,2022
N470UA,AIRBUS INDUSTRIE,A320-232,2001
N317PG,BOEING,737-800,2017
N491AS,BOEING,737-990ER,2015
N356DN,AIRBUS SAS,A321-213,2018
N908XJ,BOMBARDIER INC,CL-600-2D24,2007
N302DU,AIRBUS CANADA LP,BD-500-1A11,
N8772M,BOEING,737-8,2022
N864RW,EMBRAER,ERJ 170-100 SE,2006
N230JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N286NN,EMBRAER S A,ERJ 170-200 LR,2019
N223JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N1803U,BOEING,737-8,2022
N308DU,AIRBUS CANADA LP,BD-500-1A11,2021
N317JB,EMBRAER,ERJ 190-100 IGW,2010
N344DN,AIRBUS,A321-211,2018
N878NN,BOEING,737-823,2011
N8778Q,BOEING,737-8,2022
N76504,BOEING,737-824,2006
N327NW,AIRBUS INDUSTRIE,A320-211,1992
N366DX,AIRBUS,A321-211,2019
N222JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007
N907AA,AIRBUS,A321-231,2017
N560AS,BOEING,737-890,2006
N909NN,BOEING,737-823,2012
N151UW,AIRBUS,A321-211,2013
N319US,AIRBUS INDUSTRIE,A320-211,1991
N33262,BOEING,737-824,2001
N907NN,BOEING,737-823,2012
N528AS,BOEING,737-890,2009
N8755L,BOEING,737-8,2022
N125AA,AIRBUS,A321-231,2014
N943AK,BOEING,737-9,2022
N13248,BOEING,737-824,1999
N233NN,EMBRAER,ERJ 170-200 LR,2016
N588AS,BOEING,737-890,2007
N905NN,BOEING,737-823,2012
N831NN,BOEING,737-823,2010
N76269,BOEING,737-824,2001
N160AN,AIRBUS,A321-231,2016
N972NN,BOEING,737-823,2015
206NV,AIRBUS,A320-214,2012
N260NN,EMBRAER S A,ERJ 170-200 LR,2017
N998AN,AIRBUS,A321-231,2017
N36472,BOEING,737-924ER,2013
N8773Q,BOEING,737-8,2022
N241JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N37531,BOEING,737-9,2022
N638RW,EMBRAER,ERJ 170-100 SE,2004
N885NN,BOEING,737-823,2012
N440AS,BOEING,737-990ER,2013
N36247,BOEING,737-824,1999
N129DN,AIRBUS,A321-211,2021
N209JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N310PQ,BOMBARDIER INC,CL-600-2D24,2014
N293PQ,BOMBARDIER INC,CL-600-2D24,2013
N37287,BOEING,737-824,2004
N131EV,BOMBARDIER INC,CL-600-2D24,2009
N227JQ,EMBRAER,ERJ 170-200 LR,2008
N79541,BOEING,737-800,2017
N464AS,BOEING,737-990ER,2014
N884DN,BOEING,737-900ER,2017
N481AS,BOEING,737-990ER,2015
N201JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N14242,BOEING,737-824,1999
N3768,BOEING,737-832,2002
N243JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N613AE,EMBRAER,EMB-145,1998
N8764Q,BOEING,737-8,2022
N337JB,EMBRAER,ERJ 190-100 IGW,2011
N836AW,AIRBUS,A319-132,2005
220NV,AIRBUS,A320-214,2000
N582UW,AIRBUS INDUSTRIE,A321-231,2014
N204JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N928AM,AIRBUS,A321-231,2017
N915AK,BOEING,737-9,2021
N33264,BOEING,737-824,2001
N852NN,BOEING,737-823,2010
N239JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N363DN,AIRBUS SAS,A321-213,2018
N964AN,BOEING,737-823,2001
N851NN,BOEING,737-823,2010
N397DN,AIRBUS,A321-211,2019
N316JB,EMBRAER,ERJ 190-100 IGW,2009
N379DN,AIRBUS,A321-211,2019
N3746H,BOEING,737-832,2001
N927AN,BOEING,737-823,2000
283NV,AIRBUS,A320-214,
N328JB,EMBRAER,ERJ 190-100 IGW,2011
N801DZ,BOEING,737-932ER,2013
N3745B,BOEING,737-832,2001
N368JB,EMBRAER,ERJ 190-100 IGW,2013
N198UW,AIRBUS,A321-211,2013
N203JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N906XJ,BOMBARDIER INC,CL-600-2D24,2007
N14231,BOEING,737-824,1999
N615AE,EMBRAER,EMB-145LR,1998
N246JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N915US,AIRBUS,A321-231,2014
N776DE,BOEING,737-8EH,2013
N226JQ,EMBRAER,ERJ 170-200 LR,2008
N933JN,EMBRAER,EMB-145LR,2005
N207JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N305NX,BOEING,737-800,2016
N37263,BOEING,737-824,2001
N920DU,BOEING,737-900ER,2019
N128DN,AIRBUS,A321-211,2021
N394DA,BOEING,737-832,2000
N113DX,AIRBUS,A321-211,2021
N284JB,EMBRAER,ERJ 190-100 IGW,2008
N510UW,AIRBUS,A321-231,2009
N580UW,AIRBUS,A321-231,2014
N145SY,EMBRAER S A,ERJ 170-200 LR,2015
291NV,AIRBUS INDUSTRIE,A320-214,2004
N233JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N199UW,AIRBUS,A321-211,2013
N25201,BOEING,737-824,1999
N112DN,AIRBUS SAS,A321-211,2021
N468UA,AIRBUS INDUSTRIE,A320-232,2000
N316DN,AIRBUS SAS,A321-213,2017
N236JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N479AS,BOEING,737-990ER,2015
N1801U,BOEING,737-8,2022
N921AN,BOEING,737-823,1999
N434AS,BOEING,737-990ER,2016
N934AN,BOEING,737-823,2000
N278AK,BOEING,737-900ER,2017
N39475,BOEING,737-924ER,2013
N385DZ,AIRBUS,A321-211,2019
N896NN,BOEING,737-823,2012
N377NW,AIRBUS,A320-211,2003
N921NN,BOEING,737-823,2013
N181GJ,BOMBARDIER INC,CL-600-2D24,2008
N3769L,BOEING,737-832,2002
N1809U,BOEING,737-8,2022
N211JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N107DN,AIRBUS,A321-211,2020
N351JB,EMBRAER,ERJ 190-100 IGW,2012
N352NW,AIRBUS INDUSTRIE,A320-212,1998
N368CA,BOMBARDIER INC,CL-600-2C10,2003
235NV,AIRBUS,A320-214,
N318JB,EMBRAER,ERJ 190-100 IGW,2010
N496UA,AIRBUS,A320-232,2002
N329JB,EMBRAER,ERJ 190-100 IGW,2011
N835NN,BOEING,737-823,2010
N111DC,AIRBUS,A321-211,2021
N240JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N76288,BOEING,737-824,2004
N814AW,AIRBUS INDUSTRIE,A319-132,2000
N359DN,AIRBUS,A321-211,2018
N119NN,AIRBUS,A321-231,2014
N445UA,AIRBUS INDUSTRIE,A320-232,1998
N343NW,AIRBUS INDUSTRIE,A320-212,1992
N238FR,AIRBUS,A320-214,2016
N420YX,EMBRAER S A,ERJ 170-200 LR,2014
239NV,AIRBUS,A320-214,
N177US,AIRBUS INDUSTRIE,A321-211,
N1902U,AIRBUS,A320-232,2006
N584UW,AIRBUS INDUSTRIE,A321-231,2014
N957AN,BOEING,737-823,2001
N33203,BOEING,737-824,2000
N594AS,BOEING,737-890,2008
N381DZ,AIRBUS,A321-211,2019
N218JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007
N468AS,BOEING,737-990ER,2014
N105DX,AIRBUS,A321-211,2020
N622AE,EMBRAER,EMB-145LR,1999
N229JQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2008
N760US,AIRBUS INDUSTRIE,A319-112,2000
N430UA,AIRBUS INDUSTRIE,A320-232,1996
N232PQ,BOMBARDIER INC,CL-600-2D24,2009
N952AA,BOEING,737-823,2000
N442AS,BOEING,737-990ER,2013
N3765,BOEING,737-832,2001
N618AE,EMBRAER,EMB-145LR,1998
N219YX,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,2007
N448UA,AIRBUS INDUSTRIE,A320-232,1998
N347DN,AIRBUS,A321-211,2018
N509AY,AIRBUS,A321-231,2009
N77296,BOEING,737-824,2005
N37255,BOEING,737-824,2000
N919NN,BOEING,737-823,2013
N3761R,BOEING,737-832,2001
N595NN,BOMBARDIER INC,CL-600-2D24,2016
N354DN,AIRBUS,A321-211,2018
N619AE,EMBRAER,EMB-145LR,1998
218NV,AIRBUS,A320-214,2000
N920US,AIRBUS,A321-231,2015
N936AN,BOEING,737-823,2000
N66808,BOEING,737-924ER,2013
333NV,AIRBUS,A319-111,
N8895Q,BOEING,737-8,2024
N917AK,BOEING,737-9,2023
N713AL,BOEING,737-9,2024
N17339,BOEING,737-8,2024
N27273,BOEING,737-8,2022
N993NK,AIRBUS,A320-271N,2024
N37308,BOEING,737-8,2023
N8924Q,BOEING,737-8,2024
N308LD,YABORA INDUSTRIA AERONAUTICA S,ERJ 170-200 LR,2021
N924AK,BOEING,737-9,2021
N37351,BOEING,737-8,2024
N17264,BOEING,737-8,2021
N8926Q,BOEING,737-8,2024
N960AK,BOEING,737-9,2023
N642FR,AIRBUS S A S,A321-271NX,2024
N724NK,AIRBUS S A S,A321-271NX,2024
N780AH,EMBRAER,ERJ 170-100SU,2006
N720AL,BOEING,737-9,2024
N722AL,BOEING,737-9,2024
N8923Q,BOEING,737-8,2024
N334TL,BOEING,737-8,2023
N6700,BOEING,757-232,1999
N719AL,BOEING,737-9,2024
N784DP,EMBRAER,ERJ 170-100SU,2006
N993AT,BOEING,717-200,2002
N932AT,BOEING,717-200,2000
N920AN,BOEING,737-823,1999
N37319,BOEING,737-8,2023
N788CJ,EMBRAER,ERJ 170-100 SE,2004
N17338,BOEING,737-8,2024
N787BP,EMBRAER,ERJ 170-100 LR,2005
193NV,AIRBUS,A320-214,2015
N37298,BOEING,737-824,2005
N992NK,AIRBUS,A320-271N,2024
N36444,BOEING,737-924ER,2010
N17320,BOEING,737-8,2023
N27267,BOEING,737-8,2022
249NV,AIRBUS,A320-214,2017
N355NW,AIRBUS INDUSTRIE,A320-212,1998
N708NK,AIRBUS,A321-271NX,2023
N577DN,AIRBUS S A S,A321-271NX,2024
N68811,BOEING,737-924ER,2014
N8910Q,BOEING,737-8,2024
N37318,BOEING,737-8,2023
N138AN,AIRBUS,A321-231,2015
N37324,BOEING,737-8,2023
N645FR,AIRBUS,A321-271NX,2024
N994NK,AIRBUS,A320-271N,2024
N17333,BOEING,737-8,
N640FR,AIRBUS S A S,A321-271NX,2024
N27304,BOEING,737-8,2023
N17329,BOEING,737-8,2023
N47284,BOEING,737-8,2022
N718NK,AIRBUS S A S,A321-271NX,2024
N36280,BOEING,737-824,2003
N717NK,AIRBUS S A S,A321-271NX,2024
N37342,BOEING,737-8,2024
N791DK,EMBRAER,ERJ 170-100 LR,2004
N69826,BOEING,737-924ER,2014
N953XV,AIRBUS,A321-253N,2018
N634FR,AIRBUS,A321-271NX,2023
N8916Q,BOEING,737-8,2024
N710AL,BOEING,737-9,2024
N302NB,AIRBUS INDUSTRIE,A319-114,1999
N966AK,BOEING,737-9,2023
N988NK,AIRBUS SAS,A320-271N,2024
N745JB,EMBRAER,ERJ 170-100 SE,2005
N17336,BOEING,737-8,2024
N824MD,EMBRAER,ERJ 170-100SU,2005
N8922Q,BOEING,737-8,2024
N8927Q,BOEING,737-8,2024
N17355,BOEING,737-8,2024
N242NN,EMBRAER S A,ERJ 170-200 LR,2016
N935AT,BOEING,717-200,2000
N971AT,BOEING,717-200,2001
N27323,BOEING,737-8,2023
N238AK,BOEING,737-990ER,2016
N17326,BOEING,737-8,2023
N37354,BOEING,737-8,2024
N17346,BOEING,737-8,2024
N918XJ,BOMBARDIER INC,CL-600-2D24,2007
N336DX,AIRBUS SAS,A321-213,2018
N17315,BOEING,737-8,2024
N705AL,BOEING,737-9,2023
N649FR,AIRBUS,A321-271NX,2024
N650FR,AIRBUS S A S,A321-271NX,2024
N519AS,BOEING,737-890,2009
N721NK,AIRBUS S A S,A321-271NX,2024
N17337,BOEING,737-8,2024
N748RR,EMBRAER,ERJ 170-100 SE,2005
N8932Q,BOEING,737-8,2024
N715UW,AIRBUS INDUSTRIE,A319-112,1999
N680AW,AIRBUS,A320-232,2005
N933AM,AIRBUS,A321-231,2017
N958XV,AIRBUS,A321-253N,2019
N469AN,AIRBUS,A321-253NX,2023
N723NK,AIRBUS S A S,A321-271NX,2024
N27271,BOEING,737-8,2022
N156AN,AIRBUS,A321-231,2016
N8031M,AIRBUS,A319-115,2015
N716AL,BOEING,737-9,2024
N404AN,AIRBUS,A321-253NX,2019
N8928Q,BOEING,737-8,2024
N17321,BOEING,737-8,2023
N741AK,EMBRAER,ERJ 170-100SU,2006
N17331,BOEING,737-8,2024
N957AT,BOEING,717-200,2000
N8929S,BOEING,737-8,2024
N728NK,AIRBUS S A S,A321-271NX,2024
N720NK,AIRBUS S A S,A321-271NX,2024
N970AT,BOEING,717-200,2001
N28457,BOEING,737-924ER,2012
N978AT,BOEING,717-200,2002
N47332,BOEING,737-8,2024
N206NN,EMBRAER S A,ERJ 170-200 LR,2015
N707AL,BOEING,737-9,2023
N37278,BOEING,737-8,2022
N17306,BOEING,737-8,2023
N265NN,EMBRAER S A,ERJ 170-200 LR,2018
N317TB,EMBRAER S A,ERJ 170-200 LR,2024
N912AK,BOEING,737-9,2023
N731NK,AIRBUS S A S,A321-271NX,2024
N4888U,AIRBUS,A319-132,2007
N789SS,EMBRAER,ERJ 170-100 SE,2005
N396DN,AIRBUS,A321-211,2019
N244NN,EMBRAER S A,ERJ 170-200 LR,2016
N964AK,BOEING,737-9,2023
N37325,BOEING,737-8,2023
N332JG,EMBRAER S A,ERJ 170-200 LR,2015
N988AL,AIRBUS,A321-231,2016
N77573,BOEING,737-9,2023
N652FR,AIRBUS S A S,A321-271NX,2024
N8905Q,BOEING,737-8,2024
N997AT,BOEING,717-200,2002
N252NN,EMBRAER S A,ERJ 170-200 LR,2017
N341TR,BOEING,737-8,2023
N17335,BOEING,737-8,2024
N8919K,BOEING,737-8,2024
N904AA,AIRBUS,A321-231,2017
N713NK,AIRBUS,A321-271NX,2024
N909AM,AIRBUS,A321-231,2017
N123NN,AIRBUS,A321-231,2014
N8907L,BOEING,737-8,2024
N708AL,BOEING,737-9,2023
N931AM,AIRBUS,A321-231,2017
N321JS,EMBRAER S A,ERJ 170-200 LR,2014
N774XF,AIRBUS,A319-112,2003
N144AN,AIRBUS,A321-231,2015
N991AU,AIRBUS,A321-231,2016
N654AW,AIRBUS INDUSTRIE,A320-232,1999
N650AW,AIRBUS INDUSTRIE,A320-232,1998
N895AT,BOEING,717-200,2004
N165NN,AIRBUS,A321-231,2016
N987NK,AIRBUS,A320-271N,2023
N703NK,AIRBUS S A S,A321-271NX,2023
N940AT,BOEING,717-200,1999
N934AA,AIRBUS,A321-231,2017
N112DU,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,2019
N466AN,AIRBUS,A321-253NX,2022
N785BR,EMBRAER,ERJ 170-100 SE,2004
N932AM,AIRBUS,A321-231,2017
199NV,AIRBUS,A320-214,2016
N993AN,AIRBUS,A321-231,2016
N162AA,AIRBUS,A321-231,2016
N874UA,AIRBUS,A319-132,
251NV,AIRBUS,A320-214,2017
N922AT,BOEING,717-200,2005
N989NK,AIRBUS,A320-271N,2024
N900UW,AIRBUS,A321-231,2017
N102DU,C SERIES AIRCRAFT LTD PTNRSP,BD-500-1A10,
N809AW,AIRBUS INDUSTRIE,A319-132,1999
N336TM,BOEING,737-8,2023
N293NN,YABORA INDUSTRIA AERONAUTICA S,ERJ 170-200 LR,
N278NN,EMBRAER S A,ERJ 170-200 LR,2019
N8915Q,BOEING,737-8,2024
N341RW,BOEING,737-8,2018
N892AT,BOEING,717-200,2004
N980AT,BOEING,717-200,2002
N204NN,EMBRAER S A,ERJ 170-200 LR,2015
N304KM,EMBRAER S A,ERJ 170-200 LR,2022
N17302,BOEING,737-8,2023
N319DU,AIRBUS CANADA LP,BD-500-1A11,2023
N353NW,AIRBUS INDUSTRIE,A320-212,1998
N47291,BOEING,737-8,2023
N792JB,EMBRAER,ERJ 170-100 SE,2005
N943AT,BOEING,717-200,1999
